,SampleID_RNASeq,Drug/Chemical,Effect,NA
1,RNAseq1,NoDrug/NoChemical_1,Control,TRAINING SET
2,RNAseq2,NoDrug/NoChemical_1,Control,TRAINING SET
3,RNAseq3,NoDrug/NoChemical_1,Control,TRAINING SET
4,RNAseq4,NoDrug/NoChemical_1,Control,TRAINING SET
5,RNAseq5,NoDrug/NoChemical_1,Control,TRAINING SET
6,RNAseq6,NoDrug/NoChemical_1,Control,TRAINING SET
8,RNAseq8,NoDrug/NoChemical_1,Control,TRAINING SET
10,RNAseq10,NoDrug/NoChemical_1,Control,TRAINING SET
12,RNAseq12,NoDrug/NoChemical_1,Control,TRAINING SET
13,RNAseq13,NoDrug/NoChemical_1,Control,TRAINING SET
14,RNAseq14,NoDrug/NoChemical_1,Control,TRAINING SET
15,RNAseq15,NoDrug/NoChemical_1,Control,TRAINING SET
16,RNAseq16,NoDrug/NoChemical_1,Control,TRAINING SET
17,RNAseq17,NoDrug/NoChemical_1,Control,TRAINING SET
18,RNAseq18,NoDrug/NoChemical_1,Control,TRAINING SET
19,RNAseq19,NoDrug/NoChemical_1,Control,TRAINING SET
20,RNAseq20,NoDrug/NoChemical_1,Control,TRAINING SET
21,RNAseq21,NoDrug/NoChemical_1,Control,TRAINING SET
22,RNAseq22,NoDrug/NoChemical_1,Control,TEST SET
23,RNAseq23,Drug/Chemical_2,Effect_2,TEST SET
24,RNAseq24,Drug/Chemical_3,Effect_2,TEST SET
25,RNAseq25,Drug/Chemical_4,Effect_2,TEST SET
26,RNAseq26,Drug/Chemical_5,Effect_6,TEST SET
27,RNAseq27,NoDrug/NoChemical_1,Control,TEST SET
28,RNAseq28,Drug/Chemical_6,Effect_6,TEST SET
29,RNAseq29,Drug/Chemical_7,Effect_6,TEST SET
30,RNAseq30,Drug/Chemical_8,Effect_7,TEST SET
31,RNAseq31,Drug/Chemical_9,Effect_7,TEST SET
32,RNAseq32,Drug/Chemical_10,Effect_7,TEST SET
34,RNAseq34,Drug/Chemical_11,Effect_1,TEST SET
35,RNAseq35,Drug/Chemical_12,Effect_1,TEST SET
36,RNAseq36,Drug/Chemical_13,Effect_1,TEST SET
38,RNAseq38,NoDrug/NoChemical_1,Control,TEST SET
39,RNAseq39,Drug/Chemical_2,Effect_2,TEST SET
40,RNAseq40,Drug/Chemical_3,Effect_2,TEST SET
41,RNAseq41,Drug/Chemical_4,Effect_2,TEST SET
42,RNAseq42,Drug/Chemical_5,Effect_6,TEST SET
43,RNAseq43,NoDrug/NoChemical_1,Control,TEST SET
44,RNAseq44,Drug/Chemical_6,Effect_6,TEST SET
45,RNAseq45,Drug/Chemical_7,Effect_6,TEST SET
46,RNAseq46,Drug/Chemical_8,Effect_7,TEST SET
47,RNAseq47,Drug/Chemical_9,Effect_7,TEST SET
48,RNAseq48,Drug/Chemical_10,Effect_7,TEST SET
50,RNAseq50,Drug/Chemical_11,Effect_1,TEST SET
51,RNAseq51,Drug/Chemical_12,Effect_1,TEST SET
52,RNAseq52,Drug/Chemical_13,Effect_1,TEST SET
54,RNAseq54,NoDrug/NoChemical_1,Control,TEST SET
55,RNAseq55,Drug/Chemical_2,Effect_2,TEST SET
56,RNAseq56,Drug/Chemical_3,Effect_2,TEST SET
57,RNAseq57,Drug/Chemical_4,Effect_2,TEST SET
58,RNAseq58,Drug/Chemical_5,Effect_6,TEST SET
59,RNAseq59,NoDrug/NoChemical_1,Control,TEST SET
60,RNAseq60,Drug/Chemical_6,Effect_6,TEST SET
61,RNAseq61,Drug/Chemical_7,Effect_6,TEST SET
62,RNAseq62,Drug/Chemical_8,Effect_7,TEST SET
63,RNAseq63,Drug/Chemical_9,Effect_7,TEST SET
64,RNAseq64,Drug/Chemical_10,Effect_7,TEST SET
66,RNAseq66,Drug/Chemical_11,Effect_1,TEST SET
67,RNAseq67,Drug/Chemical_12,Effect_1,TEST SET
68,RNAseq68,Drug/Chemical_13,Effect_1,TEST SET
70,RNAseq70,Drug/Chemical_15,Effect_3,TRAINING SET
71,RNAseq71,Drug/Chemical_15,Effect_3,TRAINING SET
72,RNAseq72,Drug/Chemical_15,Effect_3,TRAINING SET
73,RNAseq73,Drug/Chemical_16,Effect_3,TRAINING SET
74,RNAseq74,Drug/Chemical_16,Effect_3,TRAINING SET
75,RNAseq75,Drug/Chemical_16,Effect_3,TRAINING SET
76,RNAseq76,Drug/Chemical_17,Effect_3,TRAINING SET
77,RNAseq77,Drug/Chemical_17,Effect_3,TRAINING SET
78,RNAseq78,Drug/Chemical_17,Effect_3,TRAINING SET
79,RNAseq79,Drug/Chemical_18,Effect_2,TRAINING SET
80,RNAseq80,Drug/Chemical_18,Effect_2,TRAINING SET
81,RNAseq81,Drug/Chemical_18,Effect_2,TRAINING SET
82,RNAseq82,Drug/Chemical_19,Effect_2,TRAINING SET
83,RNAseq83,Drug/Chemical_19,Effect_2,TRAINING SET
84,RNAseq84,Drug/Chemical_19,Effect_2,TRAINING SET
85,RNAseq85,Drug/Chemical_20,Effect_2,TRAINING SET
86,RNAseq86,Drug/Chemical_20,Effect_2,TRAINING SET
87,RNAseq87,Drug/Chemical_20,Effect_2,TRAINING SET
88,RNAseq88,Drug/Chemical_21,Effect_4,TRAINING SET
89,RNAseq89,Drug/Chemical_21,Effect_4,TRAINING SET
90,RNAseq90,Drug/Chemical_22,Effect_4,TRAINING SET
91,RNAseq91,Drug/Chemical_22,Effect_4,TRAINING SET
92,RNAseq92,Drug/Chemical_22,Effect_4,TRAINING SET
93,RNAseq93,Drug/Chemical_23,Effect_4,TRAINING SET
94,RNAseq94,Drug/Chemical_23,Effect_4,TRAINING SET
95,RNAseq95,Drug/Chemical_23,Effect_4,TRAINING SET
97,RNAseq97,Drug/Chemical_14,Effect_5,TRAINING SET
99,RNAseq99,Drug/Chemical_14,Effect_5,TRAINING SET
101,RNAseq101,Drug/Chemical_14,Effect_5,TRAINING SET
102,RNAseq102,Drug/Chemical_24,Effect_5,TRAINING SET
103,RNAseq103,Drug/Chemical_24,Effect_5,TRAINING SET
104,RNAseq104,Drug/Chemical_24,Effect_5,TRAINING SET
105,RNAseq105,Drug/Chemical_25,Effect_5,TRAINING SET
106,RNAseq106,Drug/Chemical_25,Effect_5,TRAINING SET
107,RNAseq107,Drug/Chemical_25,Effect_5,TRAINING SET
108,RNAseq108,Drug/Chemical_26,Effect_1,TRAINING SET
109,RNAseq109,Drug/Chemical_26,Effect_1,TRAINING SET
110,RNAseq110,Drug/Chemical_26,Effect_1,TRAINING SET
111,RNAseq111,Drug/Chemical_27,Effect_1,TRAINING SET
112,RNAseq112,Drug/Chemical_27,Effect_1,TRAINING SET
113,RNAseq113,Drug/Chemical_27,Effect_1,TRAINING SET
114,RNAseq114,Drug/Chemical_28,Effect_1,TRAINING SET
115,RNAseq115,Drug/Chemical_28,Effect_1,TRAINING SET
116,RNAseq116,Drug/Chemical_28,Effect_1,TRAINING SET
